name,is_male
"一凡","1"
"丁一","1"
"丁一玮","0"
"丁一聪","1"
"丁一航","1"
"丁丽","0"
"丁丽","0"
"丁书剑","1"
"丁云川","1"
"丁任之","1"
"丁传欣","0"
"丁佳妮","0"
"丁佳楠","0"
"丁俊峰","1"
"丁俊方","0"
"丁倩明","0"
"丁倩茹","0"
"丁健","1"
"丁健","1"
"丁元","0"
"丁兆宸","1"
"丁冬洪","0"
"丁凌斌","1"
"丁凯","1"
"丁品文","0"
"丁嘉城","1"
"丁嘉敏","0"
"丁国强","1"
"丁士俊","1"
"丁士鹏","1"
"丁如瑾","0"
"丁娅婷","0"
"丁婷","0"
"丁婷婷","0"
"丁婷婷","0"
"丁子天","1"
"丁子毅","1"
"丁子辰","1"
"丁宁","1"
"丁宇","0"
"丁宇杰","1"
"丁宇豪","1"
"丁宇霏","0"
"丁宇飞","1"
"丁家好琳","0"
"丁家琳","0"
"丁家骥","1"
"丁寿亮","1"
"丁小兵","1"
"丁小川","0"
"丁小桐","0"
"丁尔著","1"
"丁岚","0"
"丁岳","1"
"丁师连","0"
"丁应辉","1"
"丁康康","1"
"丁开康","1"
"丁强","1"
"丁忆","1"
"丁志行","1"
"丁念","1"
"丁思","0"
"丁思雨","0"
"丁怡","0"
"丁振欣","1"
"丁政飞","1"
"丁文杜鹃","0"
"丁文波","1"
"丁斌","1"
"丁斐扬","0"
"丁方","0"
"丁旭","1"
"丁昀垚","1"
"丁昊","1"
"丁明明","1"
"丁明月","0"
"丁明玥","0"
"丁昕","0"
"丁映","0"
"丁春花","0"
"丁晓敏","0"
"丁晓琳","0"
"丁晓静","0"
"丁晖","1"
"丁晗东","1"
"丁晨","1"
"丁杨楠","0"
"丁杰","1"
"丁林","0"
"丁枭辉","1"
"丁梅香","0"
"丁梦","0"
"丁梦菲","0"
"丁楷哲","1"
"丁款","1"
"丁歆瑶","0"
"丁正天","1"
"丁毅","1"
"丁沁","0"
"丁沐","1"
"丁治超","1"
"丁洁","0"
"丁涛","1"
"丁涛","1"
"丁涛","1"
"丁润宦","1"
"丁涵","1"
"丁烨","0"
"丁玥","0"
"丁珺","0"
"丁琳琳","0"
"丁瑶函","0"
"丁璐","0"
"丁睿","1"
"丁睿昱","0"
"丁碧杨","0"
"丁碧洋","0"
"丁福明","1"
"丁筱真","0"
"丁红玉","0"
"丁经宇","1"
"丁聪","0"
"丁聪","0"
"丁航成","1"
"丁艺喆","0"
"丁艺菲","0"
"丁芸","0"
"丁若凡","1"
"丁茜","0"
"丁荻","0"
"丁萌","0"
"丁蒙","0"
"丁谦","1"
"丁谷苇","0"
"丁豪","1"
"丁赟","0"
"丁超","1"
"丁超","1"
"丁越","1"
"丁越","1"
"丁越","0"
"丁逊","1"
"丁金莲","0"
"丁铁","1"
"丁铭","0"
"丁锦廷","1"
"丁阳","1"
"丁隆耀","1"
"丁雅媛","0"
"丁雨辰","1"
"丁霏","0"
"丁霖","1"
"丁顗","0"
"丁香妮","0"
"丁龙杨","1"
"万丽","0"
"万义玲","0"
"万书林","1"
"万俊彤","0"
"万俊韬","1"
"万偲琳","0"
"万冠兰","1"
"万凯","1"
"万卓雅","0"
"万可风","1"
"万启东","1"
"万大平","1"
"万婷","0"
"万婷","0"
"万子谦","1"
"万子豪","1"
"万孝雯","0"
"万家成","1"
"万小文","1"
"万小翠","0"
"万巍峙","1"
"万巧儿","0"
"万平","0"
"万广宇","1"
"万志兵","1"
"万志炜","1"
"万懿纬","1"
"万成明","1"
"万成霖","1"
"万振西","1"
"万斯奇","1"
"万方辰","0"
"万春梅","0"
"万晓明","1"
"万松岳","1"
"万林巧","0"
"万根遥","1"
"万梦玉","0"
"万正好","0"
"万永宽","1"
"万永强","1"
"万江强","1"
"万治安","1"
"万海欧","0"
"万清华","1"
"万灵子","0"
"万点","1"
"万玉娇","0"
"万盼盼","0"
"万知尚","1"
"万祖国","1"
"万秋锋","1"
"万秦","0"
"万籽君","0"
"万紫微","0"
"万耀璘","0"
"万芷健","1"
"万芸珂","0"
"万若愚","1"
"万英竹","0"
"万荣泽","1"
"万莹莹","0"
"万萦菲","0"
"万蓉蓉","0"
"万诗雨","0"
"万谦益","1"
"万辰婧","0"
"万达意","1"
"万远洋","0"
"万里","1"
"万雪","0"
"万霜","0"
"万青青","0"
"万静","0"
"万静羽","0"
"万顺鑫","1"
"万驰","1"
"万鹏程","1"
"上官方舟","1"
"上官莉卿","0"
"丘丽萍","0"
"丘雅璇","0"
"丛中笑","0"
"丛卓扬","1"
"丛天昕","0"
"丛翔宇","0"
"丛言玲","0"
"东梅","0"
"严丹","0"
"严之皓","1"
"严云雪","0"
"严佳敏","0"
"严俊","1"
"严克江","1"
"严凯","1"
"严可","0"
"严嘉诚","1"
"严嘉逸","1"
"严天曈","1"
"严子奇","1"
"严孙贤","1"
"严孟颖","0"
"严寒","1"
"严峰","1"
"严希","1"
"严康杰","1"
"严张艳","0"
"严弼宸","1"
"严彬","1"
"严怡雯","0"
"严悰","0"
"严扎杰","1"
"严扬","1"
"严支梓","0"
"严文君","0"
"严文雨","0"
"严文韬","1"
"严方舟","0"
"严明","0"
"严明昌","1"
"严昕昊","0"
"严春玲","0"
"严昱瑾","0"
"严晓虹","0"
"严晨","1"
"严晨雪","0"
"严曼莉","0"
"严桐","0"
"严梅","0"
"严梦思","0"
